fit_rank,orgnr,company_name,official_website_url,gpt_about_source_url,is_fit_for_nivo,fit_confidence,stage1_total_score,blended_score,business_type,operating_model,reason_summary,niche_indicator,differentiation_indicator,repeat_purchase_indicator,scalable_business_indicator,red_flags,evidence,gpt_about_confidence,is_construction_or_installation,is_generic_distributor,is_hospitality_or_property_company,is_service_heavy,is_subsidiary_or_group_company
74,559076-4949,Scandia Pumps AB,https://www.scandiapumps.com,https://www.scandiapumps.com,True,0.6,98.3098,75.3239,product_company,manufacturer,"Scandia Pumps AB provides customized technical solutions for water and sewage, indicating a strong product offering with potential for repeat business. Their focus on various applications suggests a differentiated market position.",medium,medium,high,medium,,Offers customized solutions for water and sewage|Products include pumps and filtration systems,0.9,False,False,False,False,False
75,556184-6238,Aktiebolaget Kulleborn & Stenström,https://kulleborn.se,https://kulleborn.se,True,0.6,92.3052,72.9221,product_company,manufacturer,"Kulleborn & Stenström specializes in sustainable packaging solutions, indicating a product-led business with potential for repeat purchases. Their focus on eco-friendly materials suggests a strong differentiation in the packaging market.",medium,high,high,medium,,Offers sustainable and efficient packaging solutions|Develops packaging in collaboration with customers,0.9,False,False,False,False,False
76,556814-8752,Tillmobil i Norden AB,https://www.tillmobil.se,https://www.tillmobil.se,True,0.6,92.033,72.8132,product_company,distributor,"Tillmobil i Norden AB operates as an independent broker in telecommunications, providing reliable services and products. Their focus on subscriptions and broadband indicates a product-led model with potential for repeat business.",medium,medium,high,medium,,Largest independent broker in telecommunications|Offers subscriptions and mobile broadband solutions,0.9,False,False,False,False,False
77,556900-2149,Maskin System Europe AB,https://www.mseab.se/,https://w5solutions.com,True,0.6,85.5947,70.2379,product_company,software,"Maskin System Europe AB develops advanced sustainable defense technology solutions, indicating a product-led approach with a focus on innovation. Their emphasis on training and integration solutions suggests a specialized niche, although the repeat purchase potential is unclear.",medium,high,low,medium,,"About: leading global supplier of sustainable defense technology|Focus: training, power, and integration solutions",0.9,False,False,False,False,False
78,556282-0307,Nordic Cleanware AB,https://www.cleanware.se/,https://www.cleanware.se/,True,0.6,85.1208,70.0483,product_company,manufacturer,"Nordic Cleanware AB provides a variety of vacuum cleaners for different applications, indicating a product-led approach with potential for repeat purchases. Their long-standing experience in the market suggests a reliable brand.",medium,medium,high,medium,,"About: offers office, industrial, and central vacuum cleaners|Experience: over 30 years in the market",0.9,False,False,False,False,False
79,556284-4687,System Hall AB,https://www.systemhall.com/,https://www.systemhall.com/,True,0.6,84.7417,69.8967,product_company,manufacturer,"System Hall AB focuses on automating production in the wood industry, indicating a product-led approach with tailored solutions. Their emphasis on partnerships and innovation suggests a reliable business model with potential for repeat purchases.",medium,medium,medium,medium,,About: specializes in production efficiency for the wood industry|Focus: tailored automation solutions,1.0,True,False,False,True,False
80,556145-5469,VS Truck AB,https://www.vstruck.se,https://www.vstruck.se,True,0.6,83.1338,69.2535,product_company,unknown,"VS Truck AB offers a range of trucks and services, focusing on customer needs and truck economy. Their emphasis on service and maintenance indicates a product-led approach with potential for repeat purchases.",medium,medium,high,medium,,Offers new and used trucks|Focus on improving truck economy|Emphasizes regular service for longevity,1.0,False,False,False,True,False
81,559193-0671,SICE Nordics AB,https://www.sice.com,https://www.sice.com,True,0.6,81.7733,68.7093,product_company,software,"SICE Nordics AB develops integrated solutions for public infrastructure, indicating a strong product-led approach with potential for repeat purchases and scalability.",high,high,medium,high,,Specializes in integration of technologies for public infrastructure|Develops integrated solutions and applications,0.9,False,False,False,False,False
82,556437-9740,Industriverken i Ronneby AB,https://industriverken.com,https://industriverken.com/om-oss/,True,0.6,81.3521,68.5408,product_company,manufacturer,"Industriverken is a manufacturer in the metalworking industry, indicating a product-led approach with potential for repeat purchases and scalability.",medium,medium,medium,medium,,Manufacturer of metal components|Strong presence in energy and industrial sectors,1.0,False,False,False,False,True
83,556264-2362,Segers Fabriker Aktiebolag,https://www.segers.com,https://www.segers.com/pages/vara-arbetsklader,True,0.6,81.1523,68.4609,product_company,manufacturer,"Segers Fabriker manufactures workwear for various sectors, indicating a product-led approach with potential for repeat purchases and scalability.",medium,high,medium,medium,,Develops stylish and functional workwear|Manufactured in their own factories,1.0,False,False,True,False,False
84,556666-8025,Brunneby Musteri AB,https://www.brunnebymusteri.se,https://www.brunnebymusteri.se,True,0.6,80.5752,68.2301,product_company,brand_owner,"Brunneby Musteri produces a variety of fruit-based products, indicating a strong brand and potential for repeat purchases.",medium,medium,high,medium,,"Produces a wide range of must, juice, and jam products.",0.9,False,False,False,False,False
85,556687-0639,Eboss AB,https://www.eboss.se,https://www.eboss.se,True,0.6,79.8108,67.9243,product_company,manufacturer,"Eboss AB manufactures punched and cut products for various industries, emphasizing collaboration and tailored solutions. Their focus on manufacturing and product delivery aligns well with Nivo's investment criteria.",medium,high,medium,medium,,About: delivers punched and cut products|Focus: collaboration for tailored solutions,0.9,False,False,False,False,False
86,556218-6253,Itaab Trading Aktiebolag,https://itaab.com,https://itaab.com/om-oss/,True,0.6,79.5064,67.8026,product_company,manufacturer,"Itaab Trading Aktiebolag designs and manufactures metal ceilings and facade solutions, focusing on innovation and sustainability. Their product-led approach and custom solutions align with Nivo's investment focus.",medium,high,medium,medium,,About: pioneer in metal ceilings and facade solutions|Focus: innovation and sustainability,0.9,False,False,False,False,False
87,556402-9766,Aktiebolaget Mercatus Engineering,https://www.mercatus.se,https://www.mercatus.se/om-mercatus/,True,0.6,79.3381,67.7352,product_company,manufacturer,"Aktiebolaget Mercatus Engineering designs and installs systems for purifying contaminated process fluids, emphasizing tailored solutions and long-term partnerships. Their focus on product development and repeat business aligns with Nivo's investment criteria.",medium,high,high,medium,,About: designs and installs purification systems|Focus: tailored solutions for unique needs,0.9,False,False,False,False,False
88,556234-6089,Tribotec Aktiebolag,https://www.tribotec.se,https://www.tribotec.se,True,0.6,77.8373,67.1349,product_company,manufacturer,"Tribotec Aktiebolag provides sustainable solutions in rust protection and lubricants, indicating a product-focused business with potential for repeat purchases.",medium,medium,high,medium,,About: hållbara och anpassade lösningar inom rostskydd|Offers a broad range for various industrial applications,0.9,False,False,False,False,False
89,556583-8595,Schütz Allemballage AB,https://www.allemballage.se,https://www.allemballage.se,True,0.6,77.672,67.0688,product_company,manufacturer,"Schütz Allemballage AB is a leading provider of reconditioning and sales of IBC containers, indicating a strong product focus with repeat purchase potential.",high,high,high,high,,"About: leading provider within rekonditionering|Handles over 80,000 new and reconditioned IBCs per year",0.9,False,False,False,False,False
90,556041-7254,Tjeders Industri Aktiebolag,https://tjeders.se,https://tjeders.se,True,0.6,74.6218,65.8487,product_company,manufacturer,"Tjeders provides communication solutions for healthcare and industry, indicating a product-led business model. Their focus on quality and innovation supports a differentiated offering.",medium,medium,medium,medium,,Leading supplier of communication solutions for care and industry|Offers products like call signaling systems and emergency alarms,0.9,False,False,False,False,False
91,556222-7313,Claessons Cykel & Motor Aktiebolag,https://www.claessonsmotor.se,https://www.claessonsmotor.se,True,0.6,74.5769,65.8307,product_company,distributor,"Claessons Motor is a major retailer of motorcycles and accessories, indicating a product-led business model. They offer a wide range of vehicles and services, suggesting repeat purchase potential. The focus on customer experience adds to their differentiation.",medium,medium,medium,medium,,Largest retailer of motorcycles in Sweden|Offers service and repairs|Wide range of vehicles from leading brands,0.9,False,False,False,True,False
92,556616-8190,Osby Mekan AB,https://npoindustrier.se,https://npoindustrier.se,True,0.6,74.5134,65.8054,product_company,manufacturer,"Osby Mekan specializes in advanced contract manufacturing, indicating a strong product focus and high precision. Their modern machinery and skilled team suggest a scalable business model with potential for repeat orders.",high,high,medium,medium,,Specializes in advanced contract manufacturing|Modern machinery and skilled specialists|Focus on precision and quality,0.9,False,False,False,False,True
93,556326-7185,Westmatic i Arvika Aktiebolag,https://www.westmatic.se,https://www.westmatic.se,True,0.6,74.3652,65.7461,product_company,manufacturer,"Westmatic is a leading manufacturer of washing systems for heavy vehicles, indicating a strong product focus and niche market. Their emphasis on innovation and custom solutions suggests a differentiated offering with repeat purchase potential.",high,high,medium,medium,,Leading manufacturer of washing systems for heavy vehicles|Over 4000 installations globally|Focus on innovation and customized solutions,0.9,False,False,False,False,False
94,556573-8027,Vygon (Sweden) AB,https://www.vygon.se,https://www.vygon.se,True,0.6,74.181,65.6724,product_company,manufacturer,"Vygon is a global manufacturer of medical devices, indicating a strong product focus in a specialized market. Their emphasis on innovation and quality suggests a differentiated offering with high repeat purchase potential.",high,high,high,high,,Global manufacturer of medical devices|Focus on patient care and safety|Wide range of disposable products for medical specialties,0.9,False,False,False,False,False
95,556557-6401,Böttcher Nordic AB,https://www.boettcher.de,https://www.boettcher.de/de-DE/startseite/,True,0.6,74.0864,65.6346,product_company,manufacturer,"Böttcher Nordic AB is a leading manufacturer of elastomer-coated rollers and sleeves, indicating a strong product focus and potential for repeat purchases in technical industries.",high,high,high,medium,,World leader in elastomer-coated rollers and sleeves.|Supplier and development partner for technical industries.,0.9,False,False,False,False,False
96,556545-6265,Eurostair Produktion Aktiebolag,https://www.eurostair.com,https://www.eurostair.com,True,0.6,73.8748,65.5499,product_company,manufacturer,"Eurostair is a manufacturer of high-quality staircases, indicating a strong product focus and niche market. Their offerings suggest potential for repeat purchases in construction and renovation projects.",high,medium,medium,medium,,Leading manufacturer of spiral and straight staircases|Products used as emergency exits in various buildings,0.9,False,False,False,False,False
97,556643-7587,Klarvik AB,https://klarvik.se,https://klarvik.se,True,0.6,73.8339,65.5336,product_company,manufacturer,"Klarvik specializes in aluminum components and offers tailored solutions, indicating a strong product focus and potential for repeat business in industrial applications.",high,medium,medium,medium,,Complete supplier of aluminum components|Offers construction and prototyping services,0.9,False,False,False,False,False
98,556346-6738,Bastec AB,https://www.bastec.se,https://www.bastec.se,True,0.6,73.7565,65.5026,product_company,software,"Bastec develops software solutions for building management, indicating a strong product focus with high differentiation and potential for repeat purchases in the B2B sector.",medium,high,high,high,,Develops software for control and monitoring in properties|Offers cloud solutions for energy savings,0.9,False,False,False,False,False
99,556840-5582,PMC i Strängnäs AB,https://b2b.koncern.eu,https://b2b.koncern.eu,True,0.6,73.6279,65.4511,product_company,distributor,"PMC offers a range of network equipment and peripherals, indicating a product focus with potential for repeat purchases in the B2B sector.",medium,medium,high,medium,,Offers a wide range of network equipment and peripherals|B2B portal for easy ordering,0.8,False,False,False,False,False
100,556956-4858,Boliden Electro AB,https://www.bolidenelectro.se,https://www.bolidenelectro.se/om-boliden-electro/,True,0.6,73.3973,65.3589,product_company,manufacturer,"Boliden Electro focuses on intelligent solutions for the mining and energy sectors, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",medium,high,medium,medium,,Focus on intelligent solutions for the mining and energy sectors.,1.0,False,False,False,False,False
101,556528-7264,Aktiebolaget Smålandsinredningar,https://www.smalandsinredningar.se,https://www.smalandsinredningar.se,True,0.6,73.2084,65.2834,product_company,manufacturer,"Smålandsinredningar offers tailored solutions for retail interiors and has its own production, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",medium,high,medium,medium,,Offers tailored solutions for retail interiors with own production.,0.9,False,False,False,False,False
102,556170-3926,Bimex Verktyg AB,https://www.bimex.se,https://www.bimex.se,True,0.6,73.1488,65.2595,product_company,manufacturer,"Bimex Verktyg manufactures and sells tool components, indicating a product-led approach with potential for repeat purchases. The evidence supports a strong fit for Nivo.",medium,high,medium,medium,,Manufactures and sells tool components since 1982.,0.9,False,False,False,False,False
103,556545-2298,Torverk Industrial Doors Aktiebolag,https://torverk.se,https://torverk.se,True,0.6,73.1291,65.2516,product_company,manufacturer,"Torverk specializes in manufacturing custom industrial doors, indicating a product-led approach with a focus on durability and repeat purchases. The evidence supports a strong fit for Nivo.",medium,high,medium,medium,,Developed and manufactured custom industrial doors since 1962.,0.9,False,False,False,False,False
104,556071-4288,Aktiebolaget Varmförzinkning,https://www.varmforzinkning.se,https://www.varmforzinkning.se/sv/,True,0.6,72.6565,65.0626,product_company,manufacturer,"Aktiebolaget Varmförzinkning manufactures and sells galvanized products, indicating a strong product offering and potential for repeat business. Their long-standing family business model supports stability and reliability.",medium,medium,medium,medium,,"Homepage: manufacturing galvanized products|About: family-owned since 1960|Products: poles, masts, and railings",0.9,False,False,False,False,False
105,556106-4543,Åhmans i Åhus Aktiebolag,https://www.ahmans.se,https://www.ahmans.se,True,0.6,72.181,64.8724,product_company,manufacturer,"Åhmans i Åhus Aktiebolag specializes in manufacturing elevator interiors and components, indicating a strong product focus with potential for repeat business through partnerships with installers.",medium,medium,medium,medium,,Homepage: leading manufacturer of elevator interiors|About: solutions for all types of elevators|Sales: through authorized installers,0.9,True,False,False,False,False
106,556618-4510,Mabema AB,https://mabema.com,https://mabema.com,True,0.6,71.8897,64.7559,product_company,manufacturer,"Mabema AB focuses on high-quality machine vision systems, indicating a strong product offering with potential for repeat business in demanding industrial applications.",high,high,medium,medium,,Homepage: machine vision systems for industry|About: analyzing over 300 million images annually|Products: solutions for global manufacturers,0.9,False,False,False,False,False
107,556574-2250,Bjärefågel i Torekow AB,https://www.bjarefagel.se/,https://www.bjarefagel.se/,True,0.6,71.8487,64.7395,product_company,manufacturer,"Bjärefågel focuses on producing climate-certified chicken, indicating a strong product-led model with ethical and sustainable practices.",medium,high,medium,medium,,Produces Sweden's only climate-certified chicken|Focus on ethical animal husbandry and sustainability,0.9,False,False,False,False,False
108,556340-7724,Pulverlack i Hedesunda AB,https://www.pulverlackhedesunda.se/,https://www.pulverlackhedesunda.se/,True,0.6,71.4957,64.5983,service_company,unknown,"Pulverlack i Hedesunda AB provides high-quality powder coating and aluminum processing services, emphasizing modern operations and customer service. Their focus on quality positions them well in their niche.",medium,medium,medium,medium,,Offers high-quality services in powder coating and aluminum processing|Focus on modern operations and customer service|Ambition for unbeatable quality,0.9,False,False,False,True,False
109,556579-1349,Skogsmateriel-Nordforest Aktiebolag,https://www.nordforest.com,https://www.nordforest.com,True,0.6,71.1774,64.471,product_company,brand_owner,"Skogsmateriel-Nordforest Aktiebolag offers high-quality forestry equipment, indicating a strong brand presence and potential for repeat purchases in a specialized market.",medium,high,medium,medium,,Offers professional forestry equipment|Focus on quality and functionality|Brand presence in harsh conditions,1.0,False,False,False,False,False
110,556086-1535,Bröderna Hansson H-tryck Aktiebolag,https://www.h-tryck.se,https://www.h-tryck.se,True,0.6,70.8336,64.3335,product_company,manufacturer,"Bröderna Hansson H-tryck AB specializes in high-quality printing services, indicating a product focus with potential for repeat business and scalability.",medium,medium,high,medium,,Fast and punctual printing production|All production under one roof,0.9,False,False,False,False,False
111,556574-6319,AQ ParkoPrint AB,https://www.aqg.se,https://www.aqgroup.com/,True,0.6,70.7214,64.2886,product_company,manufacturer,"AQ ParkoPrint AB is a global manufacturer of components for industrial customers, indicating a strong product focus with potential for scalability.",medium,medium,medium,high,,Global manufacturer of components and systems|Serves industrial customers with high demands,0.9,False,False,False,False,False
112,556671-1924,JustNu AB,https://www.justnu.se,https://www.justnu.se,True,0.6,70.5865,64.2346,product_company,manufacturer,"JustNu AB is a leading printing chain in Sweden, indicating a product-led business with potential for repeat purchases and scalability.",medium,medium,medium,medium,,About: leading printing chain in Sweden|About: offers a wide range of printed materials,0.9,False,False,False,False,False
113,556145-5246,Svarvmekano i Malmö Aktiebolag,https://www.svarvmekano.se,https://www.svarvmekano.se,True,0.6,69.8519,63.9408,product_company,manufacturer,Svarvmekano i Malmö AB specializes in precision machining and offers various manufacturing services. Their focus on quality and modern technology indicates a product-led business model.,medium,medium,medium,medium,,"Focus on quality, precision, and high surface finish|Offers qualified machining services including turning, milling, and grinding",0.9,False,False,False,False,False
114,556442-1484,Aktiebolaget Dalforsån,https://www.dalforsan.se,https://www.dalforsan.se,True,0.6,69.7255,63.8902,product_company,manufacturer,"Aktiebolaget Dalforsån specializes in manufacturing rollers and heavy machinery components, indicating a product-led business model with potential for repeat purchases.",medium,medium,medium,medium,,Specializes in manufacturing rollers and heavy machinery components|Offers contract manufacturing of heavy rollers,0.9,False,False,False,False,False
115,556123-9046,Götene Plast Aktiebolag,https://goteneplast.se,https://goteneplast.se,True,0.6,69.7099,63.884,product_company,manufacturer,"Götene Plast AB is a leading company in injection molding, indicating a product-led business model with a focus on efficiency and quality.",medium,medium,medium,medium,,Leading company in injection molding|Produces high-tech plastic components for various industries,0.9,False,False,False,False,False
116,556382-5198,Lövånger Elektronik Uppsala AB,https://www.leab.se,https://www.leab.se,True,0.55,72.1631,61.8652,product_company,manufacturer,"Lövånger Elektronik Uppsala AB specializes in electronics production, indicating a solid product offering with potential for repeat business due to high quality and reliability.",medium,medium,medium,medium,,Homepage: specialists in electronics production|About: focus on quality and delivery precision|Products: high-quality electronics solutions,0.9,False,False,False,False,False
117,556586-2058,Älmhults Gjuteri AB,https://almhultsgjuteri.se,https://almhultsgjuteri.se,True,0.5,97.3775,68.951,product_company,manufacturer,"Älmhults Gjuteri AB is involved in casting and processing, indicating a manufacturing focus with potential for repeat orders. However, being part of a larger group may dilute its standalone identity.",medium,medium,medium,medium,Part of Holsbyverken group,Manufactures gray and ductile iron|Focus on quality and sustainability,0.9,False,False,False,False,True
118,556285-0700,Jarl Sandin & Söner Guld och Silver Aktiebolag,https://jarlsandin.se,https://jarlsandin.se,True,0.5,74.2319,59.6928,product_company,manufacturer,"Jarl Sandin & Söner is an established jeweler offering a range of jewelry and silver products, indicating a product-led business model. Their focus on quality and unique designs suggests differentiation and potential for repeat purchases.",medium,medium,medium,medium,,Established jeweler offering a wide range of jewelry|Combines traditional craftsmanship with modern design|Focus on quality and customer service,0.9,False,False,False,False,False
119,556215-1638,Fricweld Aktiebolag,https://www.fricweld.se,https://www.fricweld.se,True,0.5,74.1671,59.6668,service_company,installer,"Fricweld specializes in friction welding services, indicating a niche service offering. Their focus on high-quality solutions tailored to customer needs suggests potential for repeat business, though it leans more towards service than product.",medium,medium,medium,medium,,Specializes in friction welding|Offers tailored solutions for customers|Long experience and high competence in the field,0.9,True,False,False,True,False
120,556860-1057,VinnTer AB,https://www.vinnter.se,https://vinnter.se/,True,0.5,72.1247,58.8499,service_company,consultancy,"VinnTer AB provides consulting services in IoT and software development, indicating a service-heavy model with potential for repeat engagements, though less product-focused.",medium,medium,medium,medium,,Homepage: IoT consulting and software development|About: solutions from idea to production|Services: business analysis and engineering,0.9,False,False,False,True,False
121,556976-8640,Sylog Väst AB,https://www.sylog.se,https://www.sylog.se,False,0.4,92.5563,40.6225,service_company,consultancy,"Sylog Väst AB operates as a consultancy focused on software development and digitalization, which does not align with Nivo's focus on product-led businesses. The service-heavy nature limits scalability and repeat purchase potential.",low,low,medium,low,,Supports businesses in product and system development|Over 500 consultants in assignments,0.9,False,False,False,True,False
122,556575-1061,Creon promotion AB,https://www.creon.se,https://www.creon.se,False,0.4,92.5026,40.6011,service_company,consultancy,"Creon promotion AB focuses on promotional products and customized workwear, indicating a service-oriented model. While they offer tailored solutions, the lack of a strong product focus limits their fit for Nivo.",low,medium,medium,low,,Creates impactful promotional products and workwear|Focus on design and sustainability,0.9,False,False,False,True,False
123,556229-4529,Anderstorp Hydraulik Aktiebolag,https://anderstorphydraulik.se,https://www.anderstorphydraulik.se/sv/,False,0.4,91.7731,40.3092,service_company,installer,"Anderstorp Hydraulik provides hydraulic services and components, indicating a service-heavy model. However, the focus on installation and service limits its fit for Nivo.",low,medium,medium,low,service-heavy focus|installation services,Homepage: hydraulic service and maintenance|About: components delivery to industry,0.9,True,False,False,True,False
124,556128-2251,Hallberg-Sekrom Fabriksaktiebolag,https://www.hsfgroup.com,https://www.hsfgroup.com,False,0.4,87.8602,38.7441,service_company,consultancy,"Hallberg-Sekrom operates as a contract manufacturer with a focus on mechanical processing, indicating a service-heavy model that may not align with Nivo's criteria.",low,medium,medium,low,contract manufacturing focus|service-heavy model,Homepage: contract manufacturers|About: specialized in mechanical processing,0.9,False,False,False,True,False
125,556486-1747,Blekinge Pressgjuteri Aktiebolag,https://www.blekingeproal.com,https://www.blekingeproal.com,False,0.4,86.1237,38.0495,service_company,manufacturer,"Blekinge Pressgjuteri operates as a contract manufacturer with a focus on customer satisfaction, indicating a service-heavy model that may not align with Nivo's criteria.",low,medium,medium,low,contract manufacturing focus|service-heavy model,Homepage: reliable contract manufacturer|About: focus on customer satisfaction and production technology,0.9,False,False,False,True,False
126,556583-1822,Embriq AB,https://www.embriq.se/,https://embriq.no/sv/,False,0.4,84.708,37.4832,service_company,consultancy,"Embriq AB provides IT services and consultancy, focusing on digital solutions for the energy sector. However, the presence of consultancy services and lack of clear product offerings limit its fit for Nivo.",medium,medium,low,medium,Consultancy services are prominent|Focus on IT operations rather than product-led offerings,About: technology company providing IT operations and software|Focus on digitalizing the energy sector,1.0,False,False,False,True,False
127,556654-0422,Digitalist Open Tech AB,https://digitalist.se/,https://www.digitalist.se/,False,0.4,84.6517,37.4607,service_company,consultancy,"Digitalist Open Tech AB focuses on digital transformation and consultancy services, which may not align with Nivo's criteria for product-led businesses. The emphasis on consultancy limits its fit.",medium,medium,low,medium,Strong focus on consultancy and digital transformation|Lacks clear product offerings,About: helps organizations with sustainable digitalization|Focus on applied AI and business-critical digital solutions,1.0,False,False,False,True,False
128,556650-7439,Höglands Logistik AB,https://www.hlogistik.se,https://hlogistik.se/,False,0.4,84.4127,37.3651,service_company,unknown,"Höglands Logistik AB offers logistics services, including transport and warehousing, but lacks a clear product focus. Its service-heavy model does not align well with Nivo's investment criteria.",medium,medium,medium,medium,Service-oriented logistics company|No identifiable products or brands,About: complete logistics partner|Offers transport and warehousing services,1.0,False,False,False,True,False
129,556493-1656,Secor AB,https://www.secor.se,https://www.secor.se,False,0.4,84.1535,37.2614,service_company,installer,"Secor AB is part of a larger group and focuses on the installation of doors, which is a service-heavy model. This limits its fit for Nivo as it lacks a strong product-led focus.",medium,medium,low,low,Part of a larger group|Focus on installation services,About: part of Daloc group|Sells and installs secure doors,1.0,True,False,False,True,True
130,556169-2699,Andrénverken AB,https://www.andrenverken.se,https://www.andrenverken.se,False,0.4,83.8882,37.1553,service_company,installer,"Andrénverken AB provides metal processing and assembly services, which are service-heavy and do not align with Nivo's focus on product-led businesses. The lack of clear product offerings limits its fit.",medium,medium,low,low,Service-oriented metal processing company|Focus on assembly services,About: complete supplier in metal processing and welding|Delivers products ready for assembly,1.0,True,False,False,True,False
131,556237-4826,BL-INTERIÖR Aktiebolag,https://www.blinterior.se,https://www.blinterior.se/om-oss/,False,0.4,83.6285,37.0514,service_company,installer,"BL-INTERIÖR Aktiebolag is part of a group and focuses on flooring services, which are service-heavy and do not align with Nivo's investment criteria for product-led businesses.",medium,medium,low,low,Part of InArea Group|Focus on flooring services,About: one of Norrland's largest flooring companies|Offers complete services from idea to finished result,1.0,True,False,False,True,True
132,556974-3320,Knowit Ascend AB,https://www.knowit.se,https://www.knowit.se,False,0.4,80.2912,35.7165,service_company,consultancy,"Knowit Ascend AB focuses on digitalization and sustainability, offering services in AI, cloud platforms, and cybersecurity. However, it primarily operates as a consultancy, which does not align with Nivo's investment criteria.",low,medium,low,medium,Service-heavy business model|Consultancy focus,"About: digital partner for innovation and sustainability|Services: AI, cloud platforms, cybersecurity",0.9,False,False,False,True,False
133,556876-6215,AB Vabon,https://www.vabon.se,https://vabon.se/om-oss/,False,0.4,79.8888,35.5555,service_company,installer,"AB Vabon operates in the water and sewage sector, focusing on infrastructure projects. Its service-heavy and installation-focused model does not align with Nivo's investment strategy.",medium,medium,low,low,Installation-focused business model|Service-heavy operations,About: leading in the water and sewage sector|Involved in large infrastructure projects,0.9,True,False,False,True,False
134,556624-2656,Vertech AB,https://www.vertech.se,https://www.vertech.se,False,0.4,77.6778,34.6711,service_company,consultancy,"Vertech AB focuses on service and maintenance of industrial conveyor belts, which is service-heavy and does not align with Nivo's investment strategy.",low,low,low,low,service och underhåll av transportband|long-term customer relationships,About: service and maintenance of transport bands|Certified according to ISO9001 and ISO14001,0.9,True,False,False,True,False
135,556813-8886,Conoa AB,https://www.conoa.se,https://www.conoa.se,False,0.4,77.2167,34.4867,service_company,consultancy,"Conoa AB provides IT consultancy services focused on cloud technologies, which does not fit Nivo's criteria for product-led businesses.",low,medium,low,low,part of Proact|service-heavy business model,"Expertise: Cloud Native, Kubernetes|Services: strategy to operations",0.9,False,False,False,True,True
136,556500-7357,Söderströms Skog & Trädgård AB,https://www.soderstroms.nu,https://soderstroms.nu/om-oss/,False,0.4,76.9427,34.3771,service_company,installer,"Söderströms Skog & Trädgård AB focuses on installations and services related to gardening and forestry, which does not align with Nivo's investment focus on product-led companies.",medium,low,low,low,focus on installations|local family business,Founded in 1994|Leading in Husqvarna Ceora installations,0.9,True,False,False,True,False
137,556813-4059,Keeparo AB,https://www.keeparo.se,https://www.keeparo.se,False,0.4,76.2225,34.089,service_company,unknown,"Keeparo AB operates as a full-service provider in talent management, which is primarily a service-oriented business. The focus on employer branding and talent attraction does not align with Nivo's investment criteria.",low,medium,low,low,Full-service provider in talent management|Focus on employer branding and talent attraction without clear product differentiation,Supports companies in every step of the talent journey|Expertise in data-driven talent attraction|Connects people with work they love,0.9,False,False,False,True,False
138,559244-7113,Astrimant AB,https://www.astrimant.se,https://www.astrimant.se,False,0.4,75.3481,33.7392,service_company,unknown,"Astrimant AB provides sustainable solutions in construction, indicating a service-heavy focus. The lack of clear product offerings limits their fit for Nivo.",medium,medium,low,low,Focus on construction and installation services,Offers sustainable solutions in construction|Emphasizes long-term solutions,0.9,True,False,False,True,False
139,556675-2332,INAC Process AB,https://www.inac.se,https://www.actemium.se,False,0.4,75.0894,33.6358,service_company,unknown,"INAC Process AB focuses on electrical engineering services, which is service-heavy and lacks clear product differentiation, limiting its fit for Nivo.",low,low,low,low,Service-heavy focus on electrical engineering,Offers design and installation services|Focuses on optimizing facility performance,0.9,True,False,False,True,False
140,556606-1056,EMV Stainless AB,https://emvholding.se,https://emvholding.se,False,0.4,74.1153,33.2461,service_company,installer,"EMV Stainless AB specializes in advanced welding and processing of stainless steel, indicating a product-led service model. However, the focus on installation and construction services limits its fit for Nivo.",medium,medium,medium,medium,installation services|construction focus,Leading in advanced welding and processing of stainless steel.|Specializes in areas like water treatment and food industry.,0.9,True,False,False,True,False
141,556487-7172,Reco Port Aktiebolag,https://www.recoport.se,https://www.recoport.se/sv,False,0.4,74.073,33.2292,service_company,installer,"Reco Port specializes in manufacturing gates, which indicates a product focus, but the emphasis on custom installations suggests a service-heavy model that may not align with Nivo's criteria.",medium,medium,low,low,installation focus,Manufactures gates up to seven meters high.,0.9,True,False,False,True,False
142,556914-6771,Proline Väst AB,https://www.proline-group.com,https://www.proline-group.com,False,0.4,73.9012,33.1605,unknown,installer,"The company specializes in pipe renewal systems, indicating a niche market with potential for repeat business. However, the installation focus raises concerns about scalability and fit for Nivo.",medium,medium,high,medium,Installation-focused business model|Parent/group branding,Specializes in pipe renewal for drainage and ventilation|Market leader in relining with over a million renovated apartments,0.9,True,False,False,False,False
143,556564-3458,Thelin Data AB,https://www.thelindata.se,https://thelindata.se/om-oss/,False,0.4,73.5005,33.0002,service_company,consultancy,"While Thelin Data offers IT products and services, the primary focus appears to be on consultancy, which does not align with Nivo's investment criteria. The evidence indicates a service-heavy model.",medium,medium,medium,medium,focus on IT consultancy and services,A pure IT company with a strong local presence and market-leading products and services.,1.0,False,False,False,True,False
144,559370-1971,SkyShowtime Nordics AB,https://www.skyshowtime.com,https://www.skyshowtime.com/where-can-i-stream,False,0.4,70.718,31.8872,unknown,unknown,"SkyShowtime Nordics AB operates as a streaming service, which is a highly competitive and generic market with low differentiation and scalability potential for Nivo.",low,low,low,low,Streaming service with generic entertainment offerings,Offers iconic entertainment from major studios|Available in multiple European countries,0.9,False,False,False,False,False
